,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
214,decoded,direct_vocab,6,0.3231714,0.33832705,0.052986108,0.03406327,0.04352469,0.9844737,0.9872563,0.10443976,0.11446519,0.011954717,3800
215,decoded,direct_vocab,7,0.3319083,0.34824273,0.012108678,0.00959731,0.010852994,0.9882333,0.9728597,0.11016311,0.121272996,0.01335981,3800
216,decoded,direct_vocab,8,0.320201,0.3499302,0.13519818,0.05563851,0.09541834,0.9761927,0.8581518,0.102528684,0.12245114,0.0125547545,3800
217,decoded,direct_vocab,9,0.33310822,0.3511341,0.043615196,0.024506768,0.03406098,0.9834843,-0.9928825,0.11096109,0.12329515,0.013680964,3800
218,decoded,direct_vocab,10,0.3191595,0.33963066,0.05661321,0.007793492,0.03220335,0.98341054,-0.46085817,0.10186279,0.11534899,0.01174977,3800
219,decoded,direct_vocab,11,0.30197623,0.3173005,0.03915751,0.030295651,0.034726582,0.9838469,0.999571,0.091189645,0.100679606,0.009180938,3800
220,decoded,direct_vocab,1,0.33919367,0.3612205,0.022914177,0.032955255,0.027934715,0.9869572,-0.6167196,0.11505235,0.13048026,0.01501206,4000
221,decoded,direct_vocab,2,0.33424738,0.34923533,0.0061763646,0.068694964,0.037435666,0.98555815,0.65979236,0.111721314,0.12196531,0.013626125,4000
222,decoded,direct_vocab,3,0.34460485,0.3659224,0.091064475,0.0064415615,0.04875302,0.98292255,-0.452174,0.1187525,0.1338992,0.015900865,4000
223,decoded,direct_vocab,4,0.33686987,0.35124403,0.015198477,0.03992843,0.027563453,0.9875524,0.48641405,0.113481306,0.12337237,0.014000458,4000
224,decoded,direct_vocab,5,0.3118311,0.33415392,0.07251998,0.02685871,0.049689345,0.98207295,-0.75761795,0.09723863,0.11165884,0.010857553,4000
225,decoded,direct_vocab,6,0.33233178,0.34927672,0.053032413,0.0334011,0.043216757,0.9842479,0.9800694,0.11044441,0.12199423,0.013473581,4000
226,decoded,direct_vocab,7,0.34111312,0.3591521,0.008380902,0.0102789225,0.009329912,0.988505,0.931803,0.11635816,0.12899023,0.015009066,4000
