,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
33,raw,direct_vocab,1,0.08804097,0.08870366,0.09849631,0.14865652,0.12357642,0.0595206,-0.6171142,0.0077512125,0.007868339,6.098917e-05,600
34,raw,direct_vocab,2,0.08708563,0.089422315,0.114565484,0.059464127,0.08701481,0.014730353,-0.058068536,0.0075839064,0.0079963505,6.0643575e-05,600
35,raw,direct_vocab,3,0.086706914,0.091396786,0.08918072,0.048465174,0.06882295,-0.032898054,-0.9903392,0.007518089,0.008353372,6.2801395e-05,600
36,raw,direct_vocab,4,0.08741758,0.08818554,0.0951772,0.2191029,0.15714005,0.0064576636,0.9111329,0.0076418333,0.0077766897,5.9428166e-05,600
37,raw,direct_vocab,5,0.087242626,0.090688996,0.044390216,0.076748155,0.060569186,0.0063197645,0.84757733,0.0076112757,0.008224494,6.259889e-05,600
38,raw,direct_vocab,6,0.08686529,0.089472815,0.04822999,0.15352286,0.10087643,0.02430643,0.8113704,0.0075455788,0.008005384,6.040526e-05,600
39,raw,direct_vocab,7,0.08762245,0.088213,0.034766894,0.1385025,0.086634696,-0.07750027,0.21027286,0.0076776934,0.0077815326,5.9744223e-05,600
40,raw,direct_vocab,8,0.08718682,0.09255039,0.08235704,0.046344552,0.0643508,0.0437891,-0.96859246,0.007601542,0.008565575,6.511158e-05,600
41,raw,direct_vocab,9,0.088287346,0.08805604,0.083778255,0.19685088,0.14031456,-0.001463894,0.084576495,0.0077946554,0.0077538667,6.043872e-05,600
42,raw,direct_vocab,10,0.086758114,0.09081138,0.041273165,0.09254286,0.06690801,-0.022744749,-0.38453257,0.0075269705,0.008246707,6.2072715e-05,600
43,raw,direct_vocab,11,0.086932555,0.09038082,0.027837213,0.08530874,0.056572974,-0.0780618,-0.6894044,0.007557269,0.008168692,6.1733e-05,600
44,raw,direct_vocab,1,0.10988978,0.11072813,0.097525686,0.112009846,0.10476777,0.06406932,-0.71170527,0.012075764,0.012260718,0.00014805754,800
45,raw,direct_vocab,2,0.10858717,0.11108634,0.10912062,0.040456265,0.074788444,0.010897589,-0.08649737,0.011791173,0.012340175,0.00014550514,800
46,raw,direct_vocab,3,0.10812823,0.11357209,0.08230968,0.033361297,0.05783549,-0.035843655,-0.97993654,0.011691714,0.01289862,0.00015080697,800
47,raw,direct_vocab,4,0.1092368,0.10925821,0.09047095,0.16468912,0.12758003,0.0048533767,0.91667277,0.0119326785,0.011937357,0.00014244464,800
48,raw,direct_vocab,5,0.10890711,0.113320045,0.041939814,0.053695112,0.04781746,0.011922321,0.8902339,0.011860759,0.012841432,0.00015230913,800
49,raw,direct_vocab,6,0.10851375,0.11119055,0.05107128,0.113449514,0.0822604,0.012998492,0.9616584,0.011775234,0.012363339,0.0001455812,800
50,raw,direct_vocab,7,0.10930817,0.109697,0.030904602,0.09654834,0.06372647,-0.06898864,-0.26925755,0.011948275,0.012033432,0.00014377876,800
51,raw,direct_vocab,8,0.10908187,0.11479876,0.07606303,0.037776966,0.05692,0.049334962,-0.9841175,0.011898855,0.0131787555,0.0001568121,800
52,raw,direct_vocab,9,0.110252544,0.109435685,0.08071497,0.15253568,0.116625324,0.00045480498,0.09418937,0.012155623,0.011976169,0.0001455778,800
53,raw,direct_vocab,10,0.10853551,0.1126159,0.0424121,0.06584921,0.05413065,-0.018840954,-0.37495264,0.011779957,0.01268234,0.00014939743,800
54,raw,direct_vocab,11,0.10844479,0.11271083,0.021929296,0.065590404,0.04375985,-0.07662562,-0.99744904,0.011760272,0.012703732,0.00014939935,800
55,raw,direct_vocab,1,0.13058065,0.13232578,0.09662265,0.08897047,0.092796564,0.06407333,-0.7519865,0.017051306,0.017510112,0.0002985703,1000
