epoch,filename,path,source,train_loss,test_loss,train_accuracy,test_accuracy,param_norm,coord_mode,input_projection_mode,p,K,d_mlp,ell_global,ell_neuron,ell_abs,ell_global_norm,ell_neuron_norm,ell_abs_norm,sum_alpha2beta2,coherence_in_mean,coherence_out_mean,coherence_mean,coherence_in_weighted,coherence_out_weighted,coherence_joint_weighted,H_in,H_out,top1_in,top2_in,top1_out,top2_out,param_norm_model
2000,2000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/2000.pth,numbered,0.9221181869506836,2.785773992538452,0.9873737373737373,0.6691729323308271,23.68304194602824,decoded,direct_vocab,23,11,512,0.004850093275308609,0.02636628970503807,0.02636628970503807,0.18073777854442596,0.982534646987915,0.982534646987915,0.026834972202777863,0.05642266571521759,0.039015185087919235,0.04771892726421356,0.05602994188666344,0.03876763582229614,0.047662246972322464,2.396095037460327,2.3967933654785156,0.09732040762901306,0.19318228960037231,0.09652818739414215,0.19205105304718018,23.69089195907166
2200,2200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/2200.pth,numbered,0.7096417546272278,2.5302693843841553,1.0,0.706766917293233,25.209970120939737,decoded,direct_vocab,23,11,512,0.005791679956018925,0.03392358124256134,0.03392358124256134,0.16790874302387238,0.9834911227226257,0.9834911227226257,0.03449302166700363,0.05618399381637573,0.03717774525284767,0.04668086767196655,0.05579991266131401,0.03695214167237282,0.04662390798330307,2.396111249923706,2.3966262340545654,0.09681135416030884,0.19234490394592285,0.09675826132297516,0.19224503636360168,25.21739463520171
2400,2400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/2400.pth,numbered,0.5276281833648682,2.2770681381225586,1.0,0.706766917293233,26.66491739459771,decoded,direct_vocab,23,11,512,0.001998782390728593,0.04251715540885925,0.04251715540885925,0.04625850170850754,0.9839890003204346,0.9839890003204346,0.043208975344896317,0.05585077777504921,0.03610485419631004,0.045977815985679626,0.05546585097908974,0.035894207656383514,0.045910753309726715,2.3961293697357178,2.396463632583618,0.09637214243412018,0.19203749299049377,0.0971313938498497,0.192453533411026,26.672044911036128
2600,2600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/2600.pth,numbered,0.3790655732154846,2.0519492626190186,1.0,0.706766917293233,28.06475430106389,decoded,direct_vocab,23,11,512,0.0021787015721201897,0.05221768468618393,0.05221768468618393,0.041061826050281525,0.9841427803039551,0.9841427803039551,0.05305905267596245,0.05496755614876747,0.03526053577661514,0.045114047825336456,0.05455460399389267,0.03507334738969803,0.04503406211733818,2.3960912227630615,2.3963284492492676,0.09600963443517685,0.19197353720664978,0.0974193587899208,0.1927923858165741,28.071619807610798
2800,2800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/2800.pth,numbered,0.2646939158439636,1.8725029230117798,1.0,0.706766917293233,29.41449301928496,decoded,direct_vocab,23,11,512,0.002070837654173374,0.06304235756397247,0.06304235756397247,0.03232874721288681,0.9841815829277039,0.9841815829277039,0.06405561417341232,0.05423123016953468,0.034424446523189545,0.04432784020900726,0.053802307695150375,0.034260109066963196,0.04424376040697098,2.3960626125335693,2.3962182998657227,0.09626355022192001,0.19204536080360413,0.0976075828075409,0.1932624727487564,29.421117804250105
3000,3000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/3000.pth,numbered,0.18088579177856445,1.73814058303833,1.0,0.706766917293233,30.71362279910196,decoded,direct_vocab,23,11,512,0.0017419015057384968,0.07496441155672073,0.07496441155672073,0.02286798506975174,0.9841457605361938,0.9841457605361938,0.07617206126451492,0.053818896412849426,0.033617205917835236,0.04371805116534233,0.053385090082883835,0.03346797823905945,0.04362372308969498,2.396007776260376,2.3961281776428223,0.09664544463157654,0.19252559542655945,0.0976591408252716,0.19352880120277405,30.71998980204095
3200,3200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/3200.pth,numbered,0.12177625298500061,1.6378052234649658,1.0,0.706766917293233,31.95941472200503,decoded,direct_vocab,23,11,512,0.0022087409161031246,0.08790887892246246,0.08790887892246246,0.024725764989852905,0.9840965867042542,0.9840965867042542,0.08932952582836151,0.053380683064460754,0.032829400151968,0.04310504347085953,0.05292458087205887,0.032682519406080246,0.04297608509659767,2.3959317207336426,2.3960330486297607,0.09703098982572556,0.19299161434173584,0.09777525812387466,0.1937648206949234,31.965501308845155
3400,3400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/3400.pth,numbered,0.08125346899032593,1.562739610671997,1.0,0.706766917293233,33.15040118441126,decoded,direct_vocab,23,11,512,0.005162287503480911,0.1017867773771286,0.1017867773771286,0.049909237772226334,0.9840793609619141,0.9840793609619141,0.1034335047006607,0.05261356011033058,0.032149337232112885,0.04238145053386688,0.05214063450694084,0.031997211277484894,0.04221775382757187,2.3958663940429688,2.3959407806396484,0.0973203182220459,0.19348619878292084,0.09792935848236084,0.19403140246868134,33.15623251207126
3600,3600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/3600.pth,numbered,0.05397055298089981,1.503495693206787,1.0,0.706766917293233,34.29143574981866,decoded,direct_vocab,23,11,512,0.008599274791777134,0.11656010895967484,0.11656010895967484,0.07260320335626602,0.9841105937957764,0.9841105937957764,0.11844208091497421,0.05158153548836708,0.0315510593354702,0.04156629741191864,0.05110325664281845,0.03139415755867958,0.04137801378965378,2.395808696746826,2.3958635330200195,0.09755536168813705,0.19399213790893555,0.09804894775152206,0.19421833753585815,34.297025376948234
3800,3800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/3800.pth,numbered,0.03579840809106827,1.452756404876709,1.0,0.706766917293233,35.38632911145976,decoded,direct_vocab,23,11,512,0.013842634856700897,0.13217857480049133,0.13217857480049133,0.10306499898433685,0.9841323494911194,0.9841323494911194,0.13430975377559662,0.05036834254860878,0.031004328280687332,0.040686335414648056,0.049893513321876526,0.030839618295431137,0.04047766700387001,2.3957598209381104,2.395803451538086,0.09770355373620987,0.19433361291885376,0.09812045097351074,0.19431105256080627,35.3916942443333
4000,4000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/4000.pth,numbered,0.023746952414512634,1.407680630683899,1.0,0.706766917293233,36.43751768439485,decoded,direct_vocab,23,11,512,0.019702047109603882,0.14860165119171143,0.14860165119171143,0.13048718869686127,0.9841926693916321,0.9841926693916321,0.15098837018013,0.049174919724464417,0.030491864308714867,0.039833392947912216,0.048715852200984955,0.030324973165988922,0.039613302797079086,2.3957126140594482,2.3957486152648926,0.09788922220468521,0.19470591843128204,0.09818209707736969,0.19440729916095734,36.44266553222678
4200,4200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/4200.pth,numbered,0.01577410288155079,1.36516535282135,1.0,0.706766917293233,37.44610482725169,decoded,direct_vocab,23,11,512,0.019045373424887657,0.1657484769821167,0.1657484769821167,0.11309664696455002,0.9842599034309387,0.9842599034309387,0.16839909553527832,0.04843179136514664,0.029989784583449364,0.039210788905620575,0.048005376011133194,0.029825761914253235,0.038999080657958984,2.395672082901001,2.395699977874756,0.09811395406723022,0.19506263732910156,0.09826981276273727,0.19453027844429016,37.451043075479305
4400,4400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/4400.pth,numbered,0.010512525215744972,1.3226238489151,1.0,0.706766917293233,38.41469728132232,decoded,direct_vocab,23,11,512,0.006268687546253204,0.1835630238056183,0.1835630238056183,0.03361571580171585,0.9843531250953674,0.9843531250953674,0.18648086488246918,0.047838807106018066,0.02950860932469368,0.038673706352710724,0.047448109835386276,0.02934112399816513,0.03847444802522659,2.395642042160034,2.395667552947998,0.09828738123178482,0.19533580541610718,0.09837520122528076,0.1946425437927246,38.41943967220973
4600,4600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/4600.pth,numbered,0.007030261680483818,1.2812445163726807,1.0,0.706766917293233,39.34712225306786,decoded,direct_vocab,23,11,512,0.0014970190823078156,0.2020275592803955,0.2020275592803955,0.007294884417206049,0.9844682216644287,0.9844682216644287,0.20521491765975952,0.047599706798791885,0.029086584225296974,0.038343146443367004,0.04724670946598053,0.02891075797379017,0.038153063505887985,2.3956196308135986,2.395639181137085,0.09842688590288162,0.19550549983978271,0.09848013520240784,0.19475921988487244,39.3516974387204
4800,4800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/4800.pth,numbered,0.004719808232039213,1.2379069328308105,1.0,0.706766917293233,40.24540876498922,decoded,direct_vocab,23,11,512,0.011971385218203068,0.22109243273735046,0.22109243273735046,0.05331284925341606,0.9846035242080688,0.9846035242080688,0.22454971075057983,0.04746561869978905,0.028714217245578766,0.03808991611003876,0.04715412110090256,0.02852982096374035,0.03791261091828346,2.3955986499786377,2.395618200302124,0.09856946021318436,0.19559814035892487,0.09856801480054855,0.19484278559684753,40.249822580645464
5000,5000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/5000.pth,numbered,0.00318186660297215,1.194696307182312,1.0,0.706766917293233,41.11132753693636,decoded,direct_vocab,23,11,512,0.02400212362408638,0.2406931072473526,0.2406931072473526,0.09819605201482773,0.9847092032432556,0.9847092032432556,0.24443064630031586,0.04729289188981056,0.028434306383132935,0.0378635972738266,0.04702072590589523,0.02823960967361927,0.037696827203035355,2.3955798149108887,2.3956046104431152,0.09870477020740509,0.1956784427165985,0.09863252937793732,0.19493788480758667,41.115579842216974
5200,5200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/5200.pth,numbered,0.0021552923135459423,1.1517165899276733,1.0,0.706766917293233,41.94707605708412,decoded,direct_vocab,23,11,512,0.034495532512664795,0.2608065903186798,0.2608065903186798,0.13025295734405518,0.9847891926765442,0.9847891926765442,0.2648349404335022,0.047215864062309265,0.028185958042740822,0.03770091012120247,0.04699032008647919,0.027985095977783203,0.037557296454906464,2.395562171936035,2.3955960273742676,0.09884525090456009,0.19574064016342163,0.0986858457326889,0.1950576901435852,41.95117983153528
5400,5400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/5400.pth,numbered,0.001469249720685184,1.1111465692520142,1.0,0.706766917293233,42.756114329893364,decoded,direct_vocab,23,11,512,0.04142734408378601,0.28143322467803955,0.28143322467803955,0.14496885240077972,0.9848338961601257,0.9848338961601257,0.28576719760894775,0.04705963283777237,0.028013676404953003,0.037536654621362686,0.046883102506399155,0.027811488136649132,0.03742540255188942,2.3955373764038086,2.3955888748168945,0.0989994928240776,0.19580918550491333,0.09872004389762878,0.1951722502708435,42.76008638664062
5600,5600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/5600.pth,numbered,0.00100833794567734,1.0710949897766113,1.0,0.7218045112781954,43.53569239303117,decoded,direct_vocab,23,11,512,0.044009167701005936,0.3024305999279022,0.3024305999279022,0.14331720769405365,0.9848744869232178,0.9848744869232178,0.30707526206970215,0.04680695757269859,0.027897119522094727,0.03735204041004181,0.04667096212506294,0.027695324271917343,0.03726460784673691,2.3955156803131104,2.395585536956787,0.09919009357690811,0.19588571786880493,0.09874455630779266,0.19529038667678833,43.53950688361053
5800,5800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/5800.pth,numbered,0.0006972221890464425,1.031256914138794,1.0,0.7218045112781954,44.2835200828573,decoded,direct_vocab,23,11,512,0.04811211675405502,0.32364797592163086,0.32364797592163086,0.14641542732715607,0.9849298000335693,0.9849298000335693,0.32860004901885986,0.04657255485653877,0.02778988890349865,0.037181220948696136,0.04647202044725418,0.027584364637732506,0.03710999712347984,2.395505905151367,2.395580530166626,0.09939073771238327,0.19593219459056854,0.09877925366163254,0.19543331861495972,44.287188921166155
6000,6000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/6000.pth,numbered,0.0004860366170760244,0.9921807050704956,1.0,0.7518796992481203,45.001158526235,decoded,direct_vocab,23,11,512,0.05265307426452637,0.345026433467865,0.345026433467865,0.15031321346759796,0.9849762916564941,0.9849762916564941,0.35028907656669617,0.04639020934700966,0.027650797739624977,0.03702050447463989,0.04632379114627838,0.0274420864880085,0.036965277045965195,2.3955018520355225,2.395576238632202,0.09957242757081985,0.195966899394989,0.09880869090557098,0.19554966688156128,45.00466081006395
6200,6200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/6200.pth,numbered,0.00034147489350289106,0.9522601962089539,1.0,0.7518796992481203,45.685408374939854,decoded,direct_vocab,23,11,512,0.05633789300918579,0.3663809895515442,0.3663809895515442,0.15146873891353607,0.9850432872772217,0.9850432872772217,0.37194404006004333,0.04619314521551132,0.02748929336667061,0.036841221153736115,0.04616508260369301,0.027280163019895554,0.03680738806724548,2.3955013751983643,2.395570755004883,0.09975789487361908,0.19600491225719452,0.09883733838796616,0.19565695524215698,45.68874773860491
6400,6400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/6400.pth,numbered,0.00024209156981669366,0.9108303785324097,1.0,0.7819548872180451,46.33533011705944,decoded,direct_vocab,23,11,512,0.05969919264316559,0.38756659626960754,0.38756659626960754,0.1517418622970581,0.9851067066192627,0.9851067066192627,0.39342600107192993,0.045971695333719254,0.027295948937535286,0.036633823066949844,0.04598119482398033,0.02708989381790161,0.036624807864427567,2.395498752593994,2.3955626487731934,0.0999409630894661,0.19605636596679688,0.09886191040277481,0.19575107097625732,46.338496151536226
6600,6600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/6600.pth,numbered,0.00017345169908367097,0.8689365983009338,1.0,0.7819548872180451,46.95107751477385,decoded,direct_vocab,23,11,512,0.06775178015232086,0.4084738790988922,0.4084738790988922,0.16340622305870056,0.9851722121238708,0.9851722121238708,0.4146218001842499,0.045780304819345474,0.02713233232498169,0.03645631670951843,0.0458226352930069,0.02692938782274723,0.03646911308169365,2.3954949378967285,2.395559072494507,0.10009400546550751,0.1960568130016327,0.09887228161096573,0.19582444429397583,46.95407262978833
6800,6800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/6800.pth,numbered,0.00012569953105412424,0.8270893692970276,1.0,0.7969924812030075,47.53105621254567,decoded,direct_vocab,23,11,512,0.07925291359424591,0.4289425313472748,0.4289425313472748,0.182040736079216,0.9852635860443115,0.9852635860443115,0.4353581368923187,0.045575108379125595,0.026998721063137054,0.036286912858486176,0.045649971812963486,0.02680063061416149,0.03632225841283798,2.3954923152923584,2.395559072494507,0.10024344176054001,0.19606323540210724,0.09887063503265381,0.195872962474823,47.53386179954376
7000,7000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/7000.pth,numbered,9.23437110031955e-05,0.7868211269378662,1.0,0.7969924812030075,48.07287053044581,decoded,direct_vocab,23,11,512,0.09067389369010925,0.44877195358276367,0.44877195358276367,0.19909825921058655,0.9853962659835815,0.9853962659835815,0.4554228186607361,0.04539461433887482,0.02690942771732807,0.03615202009677887,0.04549730569124222,0.026717888191342354,0.03620753437280655,2.395498514175415,2.3955607414245605,0.10037461668252945,0.1960652768611908,0.09886077046394348,0.19589732587337494,48.075481829358715
7200,7200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/7200.pth,numbered,6.880836735945195e-05,0.7485747337341309,1.0,0.7969924812030075,48.57287165549317,decoded,direct_vocab,23,11,512,0.09958614408969879,0.46770167350769043,0.46770167350769043,0.20985159277915955,0.9855582118034363,0.9855582118034363,0.474555104970932,0.04525120556354523,0.026865195482969284,0.036058202385902405,0.04538087919354439,0.026681168004870415,0.03613435477018356,2.395503282546997,2.395564079284668,0.10048950463533401,0.19605481624603271,0.0988425612449646,0.19590087234973907,48.57526527446222
7400,7400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/7400.pth,numbered,5.2115865400992334e-05,0.7115048170089722,1.0,0.8120300751879699,49.025318785092914,decoded,direct_vocab,23,11,512,0.10454649478197098,0.485365092754364,0.485365092754364,0.2123284637928009,0.9857510924339294,0.9857510924339294,0.4923809766769409,0.04514910280704498,0.026826508343219757,0.03598780557513237,0.045305363833904266,0.02665211632847786,0.036086197942495346,2.395503282546997,2.395566940307617,0.10060486942529678,0.19605055451393127,0.09882490336894989,0.19589170813560486,49.02745688204021
7600,7600.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/7600.pth,numbered,4.020769483759068e-05,0.6750614047050476,1.0,0.8120300751879699,49.42743211390456,decoded,direct_vocab,23,11,512,0.109532430768013,0.5015255808830261,0.5015255808830261,0.21533888578414917,0.9859907031059265,0.9859907031059265,0.5086514353752136,0.044973500072956085,0.026772594079375267,0.03587304800748825,0.045162733644247055,0.026607569307088852,0.03600013256072998,2.3955113887786865,2.3955700397491455,0.10067130625247955,0.1960224211215973,0.0988045409321785,0.1958695948123932,49.42931397539445
7800,7800.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/7800.pth,numbered,3.166596798109822e-05,0.6399522423744202,1.0,0.8270676691729323,49.778535112958494,decoded,direct_vocab,23,11,512,0.11298127472400665,0.5160159468650818,0.5160159468650818,0.2159416824579239,0.9862638711929321,0.9862638711929321,0.5232027173042297,0.04479336366057396,0.02670995146036148,0.03575165569782257,0.045011844485998154,0.026553058996796608,0.03590448573231697,2.3955230712890625,2.3955745697021484,0.10072468221187592,0.19598858058452606,0.09878221899271011,0.1958402693271637,49.780168597011354
8000,8000.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/8000.pth,numbered,2.550223689468112e-05,0.6058176755905151,1.0,0.8721804511278195,50.076044868944116,decoded,direct_vocab,23,11,512,0.11373236775398254,0.5285949110984802,0.5285949110984802,0.21227097511291504,0.9865736365318298,0.9865736365318298,0.5357885956764221,0.044548168778419495,0.026611246168613434,0.035579707473516464,0.044787533581256866,0.02646244876086712,0.035751037299633026,2.3955352306365967,2.395578622817993,0.10074319690465927,0.19592967629432678,0.0987616553902626,0.19580668210983276,50.077392496592836
8200,8200.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/8200.pth,numbered,2.100131860061083e-05,0.5729401707649231,1.0,0.8721804511278195,50.3193777061917,decoded,direct_vocab,23,11,512,0.11232373863458633,0.539120078086853,0.539120078086853,0.20561936497688293,0.9869109392166138,0.9869109392166138,0.5462702512741089,0.044256892055273056,0.02654404565691948,0.03540046885609627,0.04451568424701691,0.02640163153409958,0.03558835759758949,2.395548105239868,2.395582914352417,0.1007474735379219,0.19588667154312134,0.09874288737773895,0.19576898217201233,50.32045987111629
8400,8400.pth,/content/modular-addition-feature-learning/src/saved_models/p_23_dmlp_512_ReLU_random_scale_0.1_decay_2.0_08180102/8400.pth,numbered,1.7704784113448113e-05,0.542141318321228,1.0,0.8721804511278195,50.51188780103918,decoded,direct_vocab,23,11,512,0.11008661985397339,0.5476237535476685,0.5476237535476685,0.1984626054763794,0.9872483611106873,0.9872483611106873,0.5546970367431641,0.04401838406920433,0.02646315097808838,0.035240769386291504,0.04429540038108826,0.02632487751543522,0.03544263541698456,2.395559549331665,2.395587682723999,0.10073652863502502,0.1958290934562683,0.09872371703386307,0.19572767615318298,50.512729966532945
