,model,n,r2,coef[sum_alpha2beta2],coef[top1_out],coef[param_norm],coef[ell_neuron_norm],coef[ell_abs_norm]
0,baseline,251,0.9347695018003728,-0.12561468151358268,-0.0795129612672953,0.35530768394639767,,
1,baseline + ell_neuron_norm,251,0.9419109070752761,-0.14966329826248687,-0.08445191008595605,0.3905903694278661,-0.01920478724895974,
2,baseline + ell_abs_norm,251,0.9419287605429656,-0.1499487880971525,-0.08455238454695985,0.39108710172777067,,-0.019316587701062055
