,metric,observed_corr,null_mean,null_std,p_two_sided,n_used,n_blocks
0,ell_neuron,0.7985411627193001,-0.003433195159783831,0.1250903064066258,0.000999000999000999,240,60
1,ell_neuron_norm,0.9411102261291254,0.0026753551597663624,0.12756210703588233,0.000999000999000999,240,60
2,ell_global,-0.3472327236243134,-0.008709526815795718,0.12780461676723295,0.006993006993006993,240,60
3,sum_alpha2beta2,0.7901586263811938,-0.0034966482471852807,0.12507190164917628,0.000999000999000999,240,60
4,param_norm,0.7726365285934681,-0.0018004257464894775,0.12539434879845515,0.000999000999000999,240,60
