,model,n,r2,coef[sum_alpha2beta2],coef[top1_out],coef[param_norm],coef[ell_neuron_norm],coef[ell_abs_norm]
0,baseline,55,0.9624833780870414,-0.14042806522394757,-0.11975855671389972,0.5387626704716393,,
1,baseline + ell_neuron_norm,55,0.9738454233852252,-0.19846347894465421,-0.14099395096677583,0.6359780799763198,-0.041318245162207654,
2,baseline + ell_abs_norm,55,0.9739116942623857,-0.1991084742300247,-0.1412270761687036,0.6371892121261492,,-0.04164474749364209
